Desc	Orthogroup	ChaenocephalusAceratus	ClupeaHarengus	DanioRerio	GasterosteusAculeatus	HarpadonNehereus	HippocampusComes	LepisosteusOculatus	LiparisTanakae	PseudoliparisSwirei	SauridaUndosquamis	TakifuguRubripes
(null)	OG0000000	1	1	254	0	0	1	3	0	0	0	0
(null)	OG0000001	17	26	56	10	7	6	34	40	8	11	23
(null)	OG0000002	34	8	5	24	25	2	4	0	0	96	10
(null)	OG0000003	51	1	21	43	9	1	16	36	1	20	4
(null)	OG0000004	2	0	2	4	1	114	1	62	1	1	0
(null)	OG0000005	16	89	30	7	12	8	9	4	1	10	1
(null)	OG0000006	3	30	21	13	31	10	12	13	11	28	9
(null)	OG0000007	30	30	6	6	28	1	1	18	2	44	15
(null)	OG0000008	3	32	30	24	6	9	32	7	4	1	32
(null)	OG0000009	0	0	169	0	0	0	0	0	0	0	0
(null)	OG0000010	0	0	0	162	0	0	0	0	0	0	0
(null)	OG0000011	26	17	31	18	14	6	2	9	14	15	8
(null)	OG0000012	5	13	42	0	11	3	9	0	1	32	39
(null)	OG0000013	24	12	12	15	25	12	7	13	13	10	12
(null)	OG0000014	5	22	23	9	6	6	26	7	4	8	32
(null)	OG0000015	33	25	14	9	12	27	5	0	2	21	0
(null)	OG0000016	0	20	31	15	14	6	0	21	15	15	8
(null)	OG0000017	28	4	2	4	11	0	3	27	45	11	6
(null)	OG0000018	0	30	33	21	12	9	2	8	7	10	9
(null)	OG0000019	0	29	25	22	10	8	1	11	16	9	10
(null)	OG0000020	0	0	137	0	0	0	0	0	0	0	0
(null)	OG0000021	0	37	1	1	23	0	1	2	7	32	31
(null)	OG0000022	27	29	13	6	5	0	27	4	6	9	8
(null)	OG0000023	28	22	20	13	8	7	1	4	8	8	13
(null)	OG0000024	1	7	30	21	13	6	4	10	19	10	6
(null)	OG0000025	0	0	124	0	0	2	1	0	0	0	0
(null)	OG0000026	2	14	3	83	4	0	2	1	1	10	4
(null)	OG0000027	0	3	120	0	0	0	0	0	0	0	0
