HOG	OG	Gene Tree Parent Clade	GeneSymbol	Description	ChaenocephalusAceratus	ClupeaHarengus	DanioRerio	GasterosteusAculeatus	HarpadonNehereus	HippocampusComes	LepisosteusOculatus	LiparisTanakae	PseudoliparisSwirei	SauridaUndosquamis	TakifuguRubripes	AllGeneSymbols	AllDescriptions
N0.HOG0000000	OG0000000	n2	unknown	unknown			transcript_ENSDART00000150647				transcript_ENSLOCT00000017455, transcript_ENSLOCT00000022312						
N0.HOG0000001	OG0000000	n4	unknown	unknown	rna-gnl_WGS_JAMFTG_CAt00016460.1		transcript_ENSDART00000137248, transcript_ENSDART00000156793, transcript_ENSDART00000157856, transcript_ENSDART00000150758, transcript_ENSDART00000163191, transcript_ENSDART00000162193, transcript_ENSDART00000150712				transcript_ENSLOCT00000021805						
N0.HOG0000002	OG0000000	n12	unknown	unknown		transcript_ENSCHAT00000017500	transcript_ENSDART00000137775, transcript_ENSDART00000150527, transcript_ENSDART00000178736, transcript_ENSDART00000162498, transcript_ENSDART00000167939, transcript_ENSDART00000163501, transcript_ENSDART00000159873, transcript_ENSDART00000165832, transcript_ENSDART00000175293, transcript_ENSDART00000157805, transcript_ENSDART00000168797, transcript_ENSDART00000164998, transcript_ENSDART00000158765, transcript_ENSDART00000177987, transcript_ENSDART00000165495, transcript_ENSDART00000122468, transcript_ENSDART00000167993, transcript_ENSDART00000160266, transcript_ENSDART00000159073, transcript_ENSDART00000051025, transcript_ENSDART00000184639, transcript_ENSDART00000190105, transcript_ENSDART00000182057, transcript_ENSDART00000193940, transcript_ENSDART00000184304, transcript_ENSDART00000169230, transcript_ENSDART00000124161, transcript_ENSDART00000153911, transcript_ENSDART00000159296, transcript_ENSDART00000075209, transcript_ENSDART00000075188, transcript_ENSDART00000191971, transcript_ENSDART00000164053, transcript_ENSDART00000150866, transcript_ENSDART00000150263, transcript_ENSDART00000126791, transcript_ENSDART00000150827, transcript_ENSDART00000134257, transcript_ENSDART00000186452, transcript_ENSDART00000143067, transcript_ENSDART00000192414, transcript_ENSDART00000186177, transcript_ENSDART00000125238, transcript_ENSDART00000159440, transcript_ENSDART00000165677, transcript_ENSDART00000182871, transcript_ENSDART00000171750, transcript_ENSDART00000160964, transcript_ENSDART00000150632, transcript_ENSDART00000172541, transcript_ENSDART00000163798, transcript_ENSDART00000156770, transcript_ENSDART00000123641, transcript_ENSDART00000157331, transcript_ENSDART00000140176, transcript_ENSDART00000163413, transcript_ENSDART00000136773, transcript_ENSDART00000180849, transcript_ENSDART00000162333, transcript_ENSDART00000190901, transcript_ENSDART00000136445, transcript_ENSDART00000161885, transcript_ENSDART00000114352, transcript_ENSDART00000125904, transcript_ENSDART00000153569, transcript_ENSDART00000155932, transcript_ENSDART00000154055, transcript_ENSDART00000156749, transcript_ENSDART00000154312, transcript_ENSDART00000150851, transcript_ENSDART00000169539, transcript_ENSDART00000126807, transcript_ENSDART00000175012, transcript_ENSDART00000185108, transcript_ENSDART00000174569, transcript_ENSDART00000158414, transcript_ENSDART00000162354, transcript_ENSDART00000058719, transcript_ENSDART00000158652, transcript_ENSDART00000127809, transcript_ENSDART00000130027, transcript_ENSDART00000178155, transcript_ENSDART00000190345, transcript_ENSDART00000132197, transcript_ENSDART00000125947, transcript_ENSDART00000184911, transcript_ENSDART00000168153, transcript_ENSDART00000157517, transcript_ENSDART00000106530, transcript_ENSDART00000143464, transcript_ENSDART00000164383, transcript_ENSDART00000157859, transcript_ENSDART00000169806, transcript_ENSDART00000134990, transcript_ENSDART00000160226, transcript_ENSDART00000150725, transcript_ENSDART00000150732, transcript_ENSDART00000159767, transcript_ENSDART00000183439, transcript_ENSDART00000150429, transcript_ENSDART00000138257, transcript_ENSDART00000183084, transcript_ENSDART00000167846, transcript_ENSDART00000161364, transcript_ENSDART00000150796, transcript_ENSDART00000168344, transcript_ENSDART00000169302, transcript_ENSDART00000150385, transcript_ENSDART00000167727, transcript_ENSDART00000150295, transcript_ENSDART00000169862, transcript_ENSDART00000168657, transcript_ENSDART00000165786, transcript_ENSDART00000165995, transcript_ENSDART00000152013, transcript_ENSDART00000150611, transcript_ENSDART00000109914, transcript_ENSDART00000164164, transcript_ENSDART00000151978, transcript_ENSDART00000162245, transcript_ENSDART00000166909, transcript_ENSDART00000160818, transcript_ENSDART00000170896, transcript_ENSDART00000163509, transcript_ENSDART00000150354, transcript_ENSDART00000168471, transcript_ENSDART00000150854, transcript_ENSDART00000165288, transcript_ENSDART00000163977, transcript_ENSDART00000159000, transcript_ENSDART00000159114, transcript_ENSDART00000157417, transcript_ENSDART00000167888, transcript_ENSDART00000171512, transcript_ENSDART00000172479, transcript_ENSDART00000150383, transcript_ENSDART00000161697, transcript_ENSDART00000170800, transcript_ENSDART00000193565, transcript_ENSDART00000150417, transcript_ENSDART00000168788, transcript_ENSDART00000158240, transcript_ENSDART00000146015, transcript_ENSDART00000166485, transcript_ENSDART00000158190, transcript_ENSDART00000121499, transcript_ENSDART00000176617, transcript_ENSDART00000172017, transcript_ENSDART00000168345, transcript_ENSDART00000156083, transcript_ENSDART00000162823, transcript_ENSDART00000146710, transcript_ENSDART00000153040, transcript_ENSDART00000169288, transcript_ENSDART00000156670, transcript_ENSDART00000150615, transcript_ENSDART00000153329, transcript_ENSDART00000169189, transcript_ENSDART00000133558, transcript_ENSDART00000158660, transcript_ENSDART00000150849, transcript_ENSDART00000150447, transcript_ENSDART00000140906, transcript_ENSDART00000170474, transcript_ENSDART00000166487, transcript_ENSDART00000165929, transcript_ENSDART00000161958, transcript_ENSDART00000170798, transcript_ENSDART00000158444, transcript_ENSDART00000150629, transcript_ENSDART00000162832, transcript_ENSDART00000150324, transcript_ENSDART00000159935, transcript_ENSDART00000170824, transcript_ENSDART00000168421, transcript_ENSDART00000150374, transcript_ENSDART00000158217, transcript_ENSDART00000138095, transcript_ENSDART00000121664, transcript_ENSDART00000157214, transcript_ENSDART00000142393, transcript_ENSDART00000131318, transcript_ENSDART00000164517, transcript_ENSDART00000158033, transcript_ENSDART00000164004, transcript_ENSDART00000172389, transcript_ENSDART00000169580, transcript_ENSDART00000170777, transcript_ENSDART00000150271, transcript_ENSDART00000153885, transcript_ENSDART00000162568, transcript_ENSDART00000166475, transcript_ENSDART00000170163, transcript_ENSDART00000169157, transcript_ENSDART00000167328, transcript_ENSDART00000158645, transcript_ENSDART00000158735, transcript_ENSDART00000166189, transcript_ENSDART00000150380, transcript_ENSDART00000150334, transcript_ENSDART00000154874, transcript_ENSDART00000122707, transcript_ENSDART00000164675, transcript_ENSDART00000182450, transcript_ENSDART00000150480, transcript_ENSDART00000190956, transcript_ENSDART00000163357, transcript_ENSDART00000163259, transcript_ENSDART00000150745, transcript_ENSDART00000162955, transcript_ENSDART00000141108, transcript_ENSDART00000150625, transcript_ENSDART00000162101, transcript_ENSDART00000168046, transcript_ENSDART00000165821, transcript_ENSDART00000150544, transcript_ENSDART00000150365, transcript_ENSDART00000189984, transcript_ENSDART00000034783, transcript_ENSDART00000101067, transcript_ENSDART00000135131, transcript_ENSDART00000162545, transcript_ENSDART00000183653, transcript_ENSDART00000150848, transcript_ENSDART00000174060, transcript_ENSDART00000156003, transcript_ENSDART00000155251, transcript_ENSDART00000166793, transcript_ENSDART00000150596, transcript_ENSDART00000167958, transcript_ENSDART00000150249, transcript_ENSDART00000125171, transcript_ENSDART00000126634, transcript_ENSDART00000162786, transcript_ENSDART00000161097, transcript_ENSDART00000158840, transcript_ENSDART00000106253, transcript_ENSDART00000152047, transcript_ENSDART00000162001, transcript_ENSDART00000115172, transcript_ENSDART00000158194, transcript_ENSDART00000174158, transcript_ENSDART00000167812, transcript_ENSDART00000123281, transcript_ENSDART00000150856, transcript_ENSDART00000169701			transcript_ENSHCOT00000018824							
